WARD_NUM,NAME,COMM_CODE,SECTOR,CLASS,CLASS_CODE,SRG,COMM_STRUCTURE
11,RIDEAU PARK,RID,CENTRE,Residential,1,BUILT-OUT,INNER CITY
4,CHARLESWOOD,CHW,NORTHWEST,Residential,1,BUILT-OUT,1950s
7,WINSTON HEIGHTS/MOUNTVIEW,WIN,CENTRE,Residential,1,BUILT-OUT,1950s
9,FOREST LAWN INDUSTRIAL,FLI,EAST,Industrial,2,N/A,EMPLOYMENT
9,EASTFIELD,EFI,EAST,Industrial,2,N/A,EMPLOYMENT
5,DEERFOOT BUSINESS CENTRE,DBC,NORTHEAST,Industrial,2,N/A,EMPLOYMENT
11,EAST FAIRVIEW INDUSTRIAL,EFV,SOUTH,Industrial,2,N/A,EMPLOYMENT
9,ALBERT PARK/RADISSON HEIGHTS,ALB,EAST,Residential,1,BUILT-OUT,1950s
12,SOUTH FOOTHILLS,SFH,SOUTHEAST,Industrial,2,N/A,EMPLOYMENT
9,RED CARPET,RED,EAST,Residential,1,BUILT-OUT,1960s/1970s
12,RIVERBEND,RIV,SOUTHEAST,Residential,1,BUILT-OUT,1980s/1990s
13,BELMONT,BLM,SOUTH,Residential,1,DEVELOPING,BUILDING OUT
9,09P,09P,EAST,Residual Sub Area,4,N/A,UNDEVELOPED
4,HIGHWOOD,HIW,CENTRE,Residential,1,BUILT-OUT,1950s
10,SUNRIDGE,SUN,NORTHEAST,Industrial,2,N/A,EMPLOYMENT
5,CITYSCAPE,CSC,NORTHEAST,Residential,1,DEVELOPING,BUILDING OUT
9,PENBROOKE MEADOWS,PEN,EAST,Residential,1,BUILT-OUT,1960s/1970s
10,WHITEHORN,WHI,NORTHEAST,Residential,1,BUILT-OUT,1960s/1970s
4,CAMBRIAN HEIGHTS,CAM,CENTRE,Residential,1,BUILT-OUT,1950s
9,FOREST HEIGHTS,FHT,EAST,Residential,1,BUILT-OUT,1960s/1970s
7,UNIVERSITY DISTRICT,UND,NORTHWEST,Residential,1,BUILT-OUT,OTHER
12,SECTION 23,S23,SOUTHEAST,Industrial,2,N/A,EMPLOYMENT
11,ERLTON,ERL,CENTRE,Residential,1,BUILT-OUT,INNER CITY
3,HIDDEN VALLEY,HID,NORTH,Residential,1,BUILT-OUT,1980s/1990s
6,06C,06C,WEST,Residual Sub Area,4,N/A,UNDEVELOPED
9,ERIN WOODS,ERI,EAST,Residential,1,BUILT-OUT,1980s/1990s
11,MISSION,MIS,CENTRE,Residential,1,BUILT-OUT,INNER CITY
14,MCKENZIE LAKE,MCK,SOUTHEAST,Residential,1,BUILT-OUT,1980s/1990s
10,HORIZON,HOR,NORTHEAST,Industrial,2,N/A,EMPLOYMENT
8,RUTLAND PARK,RUT,WEST,Residential,1,BUILT-OUT,1950s
13,YORKVILLE,YKV,SOUTH,Residential,1,DEVELOPING,BUILDING OUT
10,NORTH AIRWAYS,NAW,NORTHEAST,Industrial,2,N/A,EMPLOYMENT
7,TUXEDO PARK,TUX,CENTRE,Residential,1,BUILT-OUT,INNER CITY
5,STONEY 3,ST3,NORTHEAST,Industrial,2,N/A,EMPLOYMENT
5,05E,05E,NORTHEAST,Residual Sub Area,4,N/A,UNDEVELOPED
6,WESTGATE,WGT,WEST,Residential,1,BUILT-OUT,1950s
7,UNIVERSITY OF CALGARY,UOC,NORTHWEST,Residential,1,BUILT-OUT,OTHER
9,APPLEWOOD PARK,APP,EAST,Residential,1,BUILT-OUT,2000s
7,MONTGOMERY,MON,NORTHWEST,Residential,1,BUILT-OUT,1950s
4,DALHOUSIE,DAL,NORTHWEST,Residential,1,BUILT-OUT,1960s/1970s
10,SOUTH AIRWAYS,SAW,NORTHEAST,Industrial,2,N/A,EMPLOYMENT
9,SOUTHVIEW,SOV,EAST,Residential,1,BUILT-OUT,1950s
5,STONEY 4,ST4,NORTHEAST,Industrial,2,N/A,EMPLOYMENT
5,CORNERSTONE,CNS,NORTHEAST,Residential,1,DEVELOPING,2000s
13,13L,13L,SOUTH,Residual Sub Area,4,N/A,UNDEVELOPED
5,HOMESTEAD,HSD,NORTHEAST,Residential,1,DEVELOPING,BUILDING OUT
13,13M,13M,SOUTH,Residual Sub Area,4,N/A,UNDEVELOPED
12,RANGEVIEW,RVW,SOUTHEAST,Residential,1,DEVELOPING,BUILDING OUT
1,HASKAYNE,HSN,NORTHWEST,Residential,1,DEVELOPING,BUILDING OUT
